Working,Lazy,time
65,74,1665.947
53,86,1667.992
65,76,1670.04
55,88,1672.068
68,73,1674.07
73,69,1676.15
61,81,1678.204
62,80,1680.256
55,87,1682.317
61,81,1684.375
59,84,1686.418
52,91,1688.444
66,77,1690.455
54,90,1692.51
71,73,1694.546
69,76,1696.61
56,90,1698.615
77,70,1700.62
59,88,1702.682
69,77,1704.698
74,73,1706.721
60,87,1708.741
66,81,1710.801
58,90,1712.856
69,78,1714.934
64,84,1716.993
55,95,1719.04
71,78,1721.098
59,91,1723.127
68,82,1725.157
59,91,1727.187
76,74,1729.189
72,78,1731.25
62,88,1733.271
67,82,1735.323
59,90,1737.383
77,71,1739.451
77,71,1741.502
69,79,1743.559
63,85,1745.576
53,95,1747.582
74,74,1749.624
74,74,1751.633
64,84,1753.708
64,84,1755.722
60,89,1757.761
71,79,1759.763
67,83,1761.831
62,89,1763.864
84,66,1765.869
70,80,1767.88
79,71,1769.938
80,70,1771.994
68,83,1774.042
74,76,1776.084
60,91,1778.162
75,77,1780.244
79,75,1782.264
71,84,1784.333
83,72,1786.402
70,85,1788.426
79,79,1790.504
76,82,1792.542
67,93,1794.592
78,83,1796.614
68,93,1798.71
87,73,1800.756
76,84,1802.784
76,84,1804.797
73,87,1806.896
62,101,1808.93
78,86,1810.969
65,100,1812.99
82,81,1815.039
80,86,1817.063
67,99,1819.115
83,82,1821.172
74,92,1823.24
73,93,1825.278
79,91,1827.278
74,97,1829.324
92,78,1831.402
81,91,1833.471
82,91,1835.52
85,88,1837.611
75,99,1839.614
79,95,1841.633
66,108,1843.701
88,87,1845.743
88,89,1847.811
82,95,1849.841
88,88,1851.862
79,97,1853.942
82,94,1855.987
82,95,1857.987
76,101,1860.065
85,92,1862.114
78,99,1864.114
87,90,1866.169
89,88,1868.269
83,95,1870.344
86,90,1872.426
80,96,1874.455
82,93,1876.492
75,101,1878.492
84,92,1880.55
84,92,1882.55
74,103,1884.595
96,81,1886.662
81,96,1888.662
99,78,1890.689
93,84,1892.689
85,92,1894.751
92,85,1896.837
81,96,1898.837
75,102,1900.885
74,103,1902.885
61,117,1904.885
99,78,1906.885
84,93,1908.885
91,86,1910.94
93,84,1912.94
78,99,1914.942
90,87,1917.03
80,97,1919.03
79,96,1921.106
80,95,1923.181
66,109,1925.261
82,93,1927.27
68,107,1929.334
78,95,1931.39
82,91,1933.463
69,104,1935.53
80,93,1937.614
65,108,1939.635
75,98,1941.715
76,97,1943.779
68,105,1945.789
85,88,1947.829
73,100,1949.902
87,86,1951.941
87,86,1953.942
72,101,1955.954
89,83,1957.996
73,99,1960.005
79,93,1962.018
74,98,1964.04
61,111,1966.099
80,92,1968.138
63,109,1970.183
80,91,1972.228
57,114,1974.321
84,86,1976.419
83,87,1978.419
73,98,1980.495
79,92,1982.594
64,107,1984.609
91,80,1986.634
92,79,1988.647
72,99,1990.682
89,82,1992.696
70,101,1994.716
86,84,1996.724
81,89,1998.824
67,103,2000.881
81,89,2002.978
65,105,2005.06
83,87,2007.075
79,91,2009.09
64,106,2011.134
83,87,2013.18
59,111,2015.19
85,85,2017.283
84,86,2019.328
59,111,2021.353
92,78,2023.406
70,100,2025.461
79,91,2027.533
53,117,2029.581
85,86,2031.585
84,87,2033.585
63,108,2035.61
82,89,2037.681
49,122,2039.687
88,84,2041.738
87,85,2043.738
51,121,2045.782
74,96,2047.807
46,124,2049.848
88,80,2051.85
88,80,2053.949
58,110,2055.973
71,93,2057.988
48,117,2060.014
81,84,2062.02
82,83,2064.117
57,108,2066.154
78,86,2068.226
49,115,2070.287
83,80,2072.341
86,77,2074.383
53,110,2076.416
81,82,2078.417
46,117,2080.475
80,83,2082.504
76,87,2084.575
46,118,2086.577
80,85,2088.634
44,121,2090.671
79,86,2092.707
79,87,2094.755
47,120,2096.81
71,94,2098.854
50,117,2100.87
79,89,2102.913
82,86,2104.979
54,115,2107.042
80,87,2109.087
54,113,2111.091
79,88,2113.141
51,117,2115.21
74,93,2117.216
76,91,2119.243
51,116,2121.254
89,78,2123.327
61,106,2125.385
79,86,2127.462
76,89,2129.545
46,119,2131.565
71,94,2133.644
50,115,2135.647
78,87,2137.71
81,84,2139.762
50,115,2141.815
78,86,2143.906
52,112,2145.964
80,82,2148.033
80,82,2150.048
52,111,2152.111
70,92,2154.144
45,117,2156.155
77,85,2158.199
76,86,2160.231
48,114,2162.277
76,85,2164.3
50,111,2166.369
79,80,2168.434
79,80,2170.526
52,107,2172.547
76,82,2174.567
48,111,2176.576
80,74,2178.593
76,78,2180.612
52,102,2182.634
73,78,2184.716
42,109,2186.726
66,83,2188.731
66,83,2190.738
41,108,2192.748
69,79,2194.79
43,105,2196.793
69,77,2198.851
42,104,2200.895
71,75,2202.957
71,75,2204.975
42,104,2207.042
69,75,2209.06
48,98,2211.118
66,77,2213.147
69,74,2215.191
45,98,2217.22
57,86,2219.281
45,99,2221.335
74,68,2223.344
72,70,2225.416
47,95,2227.456
73,67,2229.507
47,93,2231.513
76,64,2233.537
71,70,2235.561
51,90,2237.613
61,79,2239.685
40,100,2241.695
67,73,2243.727
65,75,2245.732
45,96,2247.775
60,81,2249.815
43,98,2251.869
66,75,2253.938
65,76,2255.941
40,102,2257.983
72,69,2260.017
46,96,2262.019
75,66,2264.038
69,73,2266.093
36,106,2268.15
69,75,2270.218
42,102,2272.262
63,80,2274.288
44,99,2276.337
66,77,2278.407
65,78,2280.476
37,108,2282.483
65,78,2284.509
39,104,2286.522
74,67,2288.548
72,70,2290.594
43,100,2292.616
67,74,2294.691
41,100,2296.719
71,69,2298.769
67,73,2300.782
41,99,2302.785
70,69,2304.86
38,101,2306.869
70,69,2308.948
72,67,2310.966
46,93,2313.018
59,80,2315.047
37,102,2317.074
60,77,2319.124
62,75,2321.196
38,99,2323.208
56,79,2325.258
34,101,2327.259
58,77,2329.296
60,75,2331.307
37,98,2333.35
58,76,2335.389
35,99,2337.417
67,65,2339.432
69,63,2341.458
45,87,2343.487
59,71,2345.515
34,96,2347.531
65,64,2349.57
62,67,2351.623
32,97,2353.63
60,66,2355.678
39,87,2357.722
60,66,2359.733
59,67,2361.737
41,85,2363.746
58,67,2365.79
42,83,2367.827
59,66,2369.85
41,84,2371.871
60,62,2373.894
55,67,2375.925
38,84,2377.931
60,61,2379.952
46,75,2381.991
56,64,2383.999
57,63,2386.034
38,82,2388.073
56,62,2390.128
39,79,2392.143
58,59,2394.198
57,60,2396.226
40,77,2398.237
62,54,2400.249
43,73,2402.25
61,54,2404.294
61,54,2406.315
42,73,2408.342
50,64,2410.369
38,76,2412.411
57,57,2414.444
58,56,2416.506
40,74,2418.533
52,62,2420.536
36,78,2422.546
58,56,2424.571
60,54,2426.612
39,75,2428.662
53,58,2430.694
36,75,2432.702
53,56,2434.702
52,57,2436.733
38,71,2438.776
49,59,2440.829
36,72,2442.865
49,58,2444.908
50,57,2446.913
34,73,2448.919
52,55,2450.942
37,70,2452.978
42,64,2455.026
46,60,2457.051
33,73,2459.052
50,55,2461.102
34,71,2463.111
52,53,2465.115
54,51,2467.152
37,68,2469.177
47,57,2471.183
32,72,2473.201
47,57,2475.25
29,75,2477.299
51,51,2479.323
48,54,2481.359
27,75,2483.369
49,52,2485.398
33,68,2487.415
55,45,2489.425
53,47,2491.446
30,70,2493.479
43,57,2495.481
20,80,2497.487
51,49,2499.492
50,50,2501.523
30,71,2503.537
50,51,2505.591
27,74,2507.633
51,47,2509.655
49,49,2511.682
31,67,2513.696
49,49,2515.699
28,70,2517.721
41,57,2519.739
41,57,2521.777
25,73,2523.79
42,55,2525.802
27,70,2527.806
41,58,2529.844
39,60,2531.85
22,77,2533.88
42,54,2535.907
25,72,2537.92
46,52,2539.949
48,50,2541.96
26,72,2543.989
42,55,2546.004
18,79,2548.012
47,48,2550.024
47,48,2552.057
23,72,2554.063
47,46,2556.111
26,68,2558.118
39,55,2560.15
42,52,2562.151
24,70,2564.185
40,53,2566.232
23,71,2568.267
41,53,2570.285
41,53,2572.306
25,69,2574.346
42,51,2576.387
28,66,2578.428
37,55,2580.448
37,55,2582.478
24,68,2584.481
49,43,2586.517
33,59,2588.517
44,47,2590.541
44,47,2592.571
31,60,2594.575
45,46,2596.615
31,60,2598.617
44,47,2600.652
44,47,2602.666
30,61,2604.677
39,53,2606.713
28,64,2608.734
40,50,2610.749
36,54,2612.774
29,61,2614.803
43,47,2616.817
29,61,2618.853
45,45,2620.877
30,60,2622.888
46,42,2624.894
45,43,2626.931
30,58,2628.952
42,46,2630.996
30,58,2633.002
44,44,2635.053
43,45,2637.071
31,57,2639.077
36,53,2641.079
23,66,2643.118
51,38,2645.161
48,42,2647.202
33,57,2649.203
42,47,2651.216
33,56,2653.218
46,43,2655.268
45,45,2657.304
33,60,2659.348
40,54,2661.389
37,60,2663.412
44,53,2665.464
42,56,2667.496
32,67,2669.544
46,54,2671.59
37,66,2673.631
48,57,2675.7
47,59,2677.737
42,64,2679.749
